Grade Sort Nbr,Enrollment Cnt,% Grades Receivedof Enrollment,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
1,3,,,87507,Deborah Nolan,4,Statistics,133,001,A,Letter Grade,A+,Computing Data
1,26,,,87528,Ingileif Hallgrimsdottir,4,Statistics,133,002,A,Letter Grade,A+,Computing Data
2,24,,,87507,Deborah Nolan,4,Statistics,133,001,A,Letter Grade,A,Computing Data
2,27,,,87528,Ingileif Hallgrimsdottir,4,Statistics,133,002,A,Letter Grade,A,Computing Data
3,27,,,87507,Deborah Nolan,3.7,Statistics,133,001,A,Letter Grade,A-,Computing Data
3,16,,,87528,Ingileif Hallgrimsdottir,3.7,Statistics,133,002,A,Letter Grade,A-,Computing Data
4,22,,,87507,Deborah Nolan,3.3,Statistics,133,001,B,Letter Grade,B+,Computing Data
4,8,,,87528,Ingileif Hallgrimsdottir,3.3,Statistics,133,002,B,Letter Grade,B+,Computing Data
5,18,,,87507,Deborah Nolan,3,Statistics,133,001,B,Letter Grade,B,Computing Data
5,12,,,87528,Ingileif Hallgrimsdottir,3,Statistics,133,002,B,Letter Grade,B,Computing Data
6,6,,,87507,Deborah Nolan,2.7,Statistics,133,001,B,Letter Grade,B-,Computing Data
6,7,,,87528,Ingileif Hallgrimsdottir,2.7,Statistics,133,002,B,Letter Grade,B-,Computing Data
7,1,,,87507,Deborah Nolan,2.3,Statistics,133,001,C,Letter Grade,C+,Computing Data
7,2,,,87528,Ingileif Hallgrimsdottir,2.3,Statistics,133,002,C,Letter Grade,C+,Computing Data
8,4,,,87507,Deborah Nolan,2,Statistics,133,001,C,Letter Grade,C,Computing Data
8,8,,,87528,Ingileif Hallgrimsdottir,2,Statistics,133,002,C,Letter Grade,C,Computing Data
9,3,,,87507,Deborah Nolan,1.7,Statistics,133,001,C,Letter Grade,C-,Computing Data
9,1,,,87528,Ingileif Hallgrimsdottir,1.7,Statistics,133,002,C,Letter Grade,C-,Computing Data
11,2,,,87528,Ingileif Hallgrimsdottir,1,Statistics,133,002,D,Letter Grade,D,Computing Data
13,2,,,87507,Deborah Nolan,0,Statistics,133,001,F,Letter Grade,F,Computing Data
13,5,,,87528,Ingileif Hallgrimsdottir,0,Statistics,133,002,F,Letter Grade,F,Computing Data
22,27,,,87507,Deborah Nolan,,Statistics,133,001,Credit,Non-Letter Grade,Pass,Computing Data
22,12,,,87528,Ingileif Hallgrimsdottir,,Statistics,133,002,Credit,Non-Letter Grade,Pass,Computing Data
25,1,,,87507,Deborah Nolan,,Statistics,133,001,Credit,Non-Letter Grade,Satisfactory,Computing Data
27,3,,,87507,Deborah Nolan,,Statistics,133,001,No Credit,Non-Letter Grade,Not Pass,Computing Data
27,2,,,87528,Ingileif Hallgrimsdottir,,Statistics,133,002,No Credit,Non-Letter Grade,Not Pass,Computing Data
30,2,,,87528,Ingileif Hallgrimsdottir,,Statistics,133,002,Administrative Code,Administrative Code,Incomplete,Computing Data
