Grade Sort Nbr,Enrollment Cnt,% Grades Receivedof Enrollment,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
1,2,,,87510,Haiyan Huang,4,Statistics,133,001,A,Letter Grade,A+,Computing Data
2,25,,,87510,Haiyan Huang,4,Statistics,133,001,A,Letter Grade,A,Computing Data
3,12,,,87510,Haiyan Huang,3.7,Statistics,133,001,A,Letter Grade,A-,Computing Data
4,18,,,87510,Haiyan Huang,3.3,Statistics,133,001,B,Letter Grade,B+,Computing Data
5,12,,,87510,Haiyan Huang,3,Statistics,133,001,B,Letter Grade,B,Computing Data
6,4,,,87510,Haiyan Huang,2.7,Statistics,133,001,B,Letter Grade,B-,Computing Data
7,2,,,87510,Haiyan Huang,2.3,Statistics,133,001,C,Letter Grade,C+,Computing Data
8,2,,,87510,Haiyan Huang,2,Statistics,133,001,C,Letter Grade,C,Computing Data
9,4,,,87510,Haiyan Huang,1.7,Statistics,133,001,C,Letter Grade,C-,Computing Data
11,1,,,87510,Haiyan Huang,1,Statistics,133,001,D,Letter Grade,D,Computing Data
22,5,,,87510,Haiyan Huang,,Statistics,133,001,Credit,Non-Letter Grade,Pass,Computing Data
27,1,,,87510,Haiyan Huang,,Statistics,133,001,No Credit,Non-Letter Grade,Not Pass,Computing Data
