Grade Sort Nbr,Enrollment Cnt,% Grades Receivedof Enrollment,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
1,13,,,87519,Ingileif Hallgrimsdottir,4,Statistics,133,001,A,Letter Grade,A+,Computing Data
1,18,,,87531,Fletcher Ibser,4,Statistics,133,002,A,Letter Grade,A+,Computing Data
2,43,,,87519,Ingileif Hallgrimsdottir,4,Statistics,133,001,A,Letter Grade,A,Computing Data
2,19,,,87531,Fletcher Ibser,4,Statistics,133,002,A,Letter Grade,A,Computing Data
3,16,,,87519,Ingileif Hallgrimsdottir,3.7,Statistics,133,001,A,Letter Grade,A-,Computing Data
3,23,,,87531,Fletcher Ibser,3.7,Statistics,133,002,A,Letter Grade,A-,Computing Data
4,18,,,87519,Ingileif Hallgrimsdottir,3.3,Statistics,133,001,B,Letter Grade,B+,Computing Data
4,12,,,87531,Fletcher Ibser,3.3,Statistics,133,002,B,Letter Grade,B+,Computing Data
5,14,,,87519,Ingileif Hallgrimsdottir,3,Statistics,133,001,B,Letter Grade,B,Computing Data
5,18,,,87531,Fletcher Ibser,3,Statistics,133,002,B,Letter Grade,B,Computing Data
6,5,,,87519,Ingileif Hallgrimsdottir,2.7,Statistics,133,001,B,Letter Grade,B-,Computing Data
6,15,,,87531,Fletcher Ibser,2.7,Statistics,133,002,B,Letter Grade,B-,Computing Data
7,6,,,87519,Ingileif Hallgrimsdottir,2.3,Statistics,133,001,C,Letter Grade,C+,Computing Data
7,9,,,87531,Fletcher Ibser,2.3,Statistics,133,002,C,Letter Grade,C+,Computing Data
8,5,,,87519,Ingileif Hallgrimsdottir,2,Statistics,133,001,C,Letter Grade,C,Computing Data
8,6,,,87531,Fletcher Ibser,2,Statistics,133,002,C,Letter Grade,C,Computing Data
9,2,,,87531,Fletcher Ibser,1.7,Statistics,133,002,C,Letter Grade,C-,Computing Data
11,3,,,87519,Ingileif Hallgrimsdottir,1,Statistics,133,001,D,Letter Grade,D,Computing Data
13,1,,,87519,Ingileif Hallgrimsdottir,0,Statistics,133,001,F,Letter Grade,F,Computing Data
13,1,,,87531,Fletcher Ibser,0,Statistics,133,002,F,Letter Grade,F,Computing Data
22,10,,,87519,Ingileif Hallgrimsdottir,,Statistics,133,001,Credit,Non-Letter Grade,Pass,Computing Data
22,18,,,87531,Fletcher Ibser,,Statistics,133,002,Credit,Non-Letter Grade,Pass,Computing Data
25,1,,,87519,Ingileif Hallgrimsdottir,,Statistics,133,001,Credit,Non-Letter Grade,Satisfactory,Computing Data
27,2,,,87519,Ingileif Hallgrimsdottir,,Statistics,133,001,No Credit,Non-Letter Grade,Not Pass,Computing Data
27,6,,,87531,Fletcher Ibser,,Statistics,133,002,No Credit,Non-Letter Grade,Not Pass,Computing Data
