Grade Sort Nbr,Enrollment Cnt,% Grades Receivedof Enrollment,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
2,22,,,87498,Philip Spector,4,Statistics,133,001,A,Letter Grade,A,Computing Data
3,2,,,87498,Philip Spector,3.7,Statistics,133,001,A,Letter Grade,A-,Computing Data
4,2,,,87498,Philip Spector,3.3,Statistics,133,001,B,Letter Grade,B+,Computing Data
5,18,,,87498,Philip Spector,3,Statistics,133,001,B,Letter Grade,B,Computing Data
7,6,,,87498,Philip Spector,2.3,Statistics,133,001,C,Letter Grade,C+,Computing Data
8,10,,,87498,Philip Spector,2,Statistics,133,001,C,Letter Grade,C,Computing Data
11,3,,,87498,Philip Spector,1,Statistics,133,001,D,Letter Grade,D,Computing Data
13,3,,,87498,Philip Spector,0,Statistics,133,001,F,Letter Grade,F,Computing Data
22,12,,,87498,Philip Spector,,Statistics,133,001,Credit,Non-Letter Grade,Pass,Computing Data
25,2,,,87498,Philip Spector,,Statistics,133,001,Credit,Non-Letter Grade,Satisfactory,Computing Data
27,3,,,87498,Philip Spector,,Statistics,133,001,No Credit,Non-Letter Grade,Not Pass,Computing Data
