Grade Sort Nbr,Enrollment Cnt,% Grades Receivedof Enrollment,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
1,2,,,87525,Benoit Dherin,4,Statistics,133,001,A,Letter Grade,A+,Computing Data
1,7,,,87537,Fletcher Ibser,4,Statistics,133,002,A,Letter Grade,A+,Computing Data
2,16,,,87525,Benoit Dherin,4,Statistics,133,001,A,Letter Grade,A,Computing Data
2,12,,,87537,Fletcher Ibser,4,Statistics,133,002,A,Letter Grade,A,Computing Data
3,4,,,87525,Benoit Dherin,3.7,Statistics,133,001,A,Letter Grade,A-,Computing Data
3,11,,,87537,Fletcher Ibser,3.7,Statistics,133,002,A,Letter Grade,A-,Computing Data
4,5,,,87525,Benoit Dherin,3.3,Statistics,133,001,B,Letter Grade,B+,Computing Data
4,12,,,87537,Fletcher Ibser,3.3,Statistics,133,002,B,Letter Grade,B+,Computing Data
5,17,,,87525,Benoit Dherin,3,Statistics,133,001,B,Letter Grade,B,Computing Data
5,10,,,87537,Fletcher Ibser,3,Statistics,133,002,B,Letter Grade,B,Computing Data
6,6,,,87525,Benoit Dherin,2.7,Statistics,133,001,B,Letter Grade,B-,Computing Data
6,12,,,87537,Fletcher Ibser,2.7,Statistics,133,002,B,Letter Grade,B-,Computing Data
7,5,,,87525,Benoit Dherin,2.3,Statistics,133,001,C,Letter Grade,C+,Computing Data
7,5,,,87537,Fletcher Ibser,2.3,Statistics,133,002,C,Letter Grade,C+,Computing Data
8,6,,,87525,Benoit Dherin,2,Statistics,133,001,C,Letter Grade,C,Computing Data
8,2,,,87537,Fletcher Ibser,2,Statistics,133,002,C,Letter Grade,C,Computing Data
9,3,,,87525,Benoit Dherin,1.7,Statistics,133,001,C,Letter Grade,C-,Computing Data
9,2,,,87537,Fletcher Ibser,1.7,Statistics,133,002,C,Letter Grade,C-,Computing Data
10,3,,,87525,Benoit Dherin,1.3,Statistics,133,001,D,Letter Grade,D+,Computing Data
11,1,,,87525,Benoit Dherin,1,Statistics,133,001,D,Letter Grade,D,Computing Data
11,1,,,87537,Fletcher Ibser,1,Statistics,133,002,D,Letter Grade,D,Computing Data
13,2,,,87525,Benoit Dherin,0,Statistics,133,001,F,Letter Grade,F,Computing Data
13,1,,,87537,Fletcher Ibser,0,Statistics,133,002,F,Letter Grade,F,Computing Data
22,1,,,87525,Benoit Dherin,,Statistics,133,001,Credit,Non-Letter Grade,Pass,Computing Data
22,1,,,87537,Fletcher Ibser,,Statistics,133,002,Credit,Non-Letter Grade,Pass,Computing Data
27,3,,,87525,Benoit Dherin,,Statistics,133,001,No Credit,Non-Letter Grade,Not Pass,Computing Data
27,2,,,87537,Fletcher Ibser,,Statistics,133,002,No Credit,Non-Letter Grade,Not Pass,Computing Data
