Enrollment Cnt,Instructor Name,Average Grade,Grade Nm
3,Cari Kaufman,4,A+ 
13,Cari Kaufman,4,A 
14,Cari Kaufman,3.7,A- 
14,Cari Kaufman,3.3,B+ 
10,Cari Kaufman,3,B 
4,Cari Kaufman,2.7,B- 
5,Cari Kaufman,2.3,C+ 
3,Cari Kaufman,2,C 
3,Cari Kaufman,1.7,C- 
2,Cari Kaufman,0,F 
