Enrollment Cnt,Instructor Name,Average Grade,Grade Nm
17,Cari Kaufman,4,A+ 
4,Benoit Dherin,4,A+ 
24,Cari Kaufman,4,A 
20,Benoit Dherin,4,A 
11,Cari Kaufman,3.7,A- 
10,Benoit Dherin,3.7,A- 
5,Cari Kaufman,3.3,B+ 
5,Cari Kaufman,3,B 
18,Benoit Dherin,3,B 
2,Cari Kaufman,2.7,B- 
4,Benoit Dherin,2.7,B- 
2,Cari Kaufman,2.3,C+ 
2,Cari Kaufman,2,C 
1,Benoit Dherin,2,C 
5,Benoit Dherin,1.7,C- 
1,Cari Kaufman,0,F 
3,Benoit Dherin,0,F 
