Enrollment Cnt,Instructor Name,Average Grade,Grade Nm
1,Cari Kaufman,4,A+ 
23,Cari Kaufman,4,A 
17,Cari Kaufman,3.7,A- 
18,Cari Kaufman,3.3,B+ 
3,Cari Kaufman,3,B 
4,Cari Kaufman,2.7,B- 
2,Cari Kaufman,2.3,C+ 
1,Cari Kaufman,2,C 
1,Cari Kaufman,1.7,C- 
2,Cari Kaufman,1,D 
2,Cari Kaufman,0,F 
