Enrollment Cnt,Instructor Name,Average Grade,Grade Nm
2,Haiyan Huang,4,A+ 
25,Haiyan Huang,4,A 
12,Haiyan Huang,3.7,A- 
18,Haiyan Huang,3.3,B+ 
12,Haiyan Huang,3,B 
4,Haiyan Huang,2.7,B- 
2,Haiyan Huang,2.3,C+ 
2,Haiyan Huang,2,C 
4,Haiyan Huang,1.7,C- 
1,Haiyan Huang,1,D 
