Enrollment Cnt,Instructor Name,Average Grade,Grade Nm
2,Benoit Dherin,4,A+ 
7,Fletcher Ibser,4,A+ 
16,Benoit Dherin,4,A 
12,Fletcher Ibser,4,A 
4,Benoit Dherin,3.7,A- 
11,Fletcher Ibser,3.7,A- 
5,Benoit Dherin,3.3,B+ 
12,Fletcher Ibser,3.3,B+ 
17,Benoit Dherin,3,B 
10,Fletcher Ibser,3,B 
6,Benoit Dherin,2.7,B- 
12,Fletcher Ibser,2.7,B- 
5,Benoit Dherin,2.3,C+ 
5,Fletcher Ibser,2.3,C+ 
6,Benoit Dherin,2,C 
2,Fletcher Ibser,2,C 
3,Benoit Dherin,1.7,C- 
2,Fletcher Ibser,1.7,C- 
3,Benoit Dherin,1.3,D+ 
1,Benoit Dherin,1,D 
1,Fletcher Ibser,1,D 
2,Benoit Dherin,0,F 
1,Fletcher Ibser,0,F 
